"region","field_id","label","anchor_field","selection_role","tax_prep_rows","tax_prep_brands","tax_prep_signal","insurance_rows","insurance_brands","insurance_signal","professional_services_signal","first_sidecar_priority","next_action","claim_boundary"
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","confirmed_service_grid","4","3","multi_brand_tax_prep_service_grid","17","5","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","confirmed_service_grid","7","3","multi_brand_tax_prep_service_grid","17","5","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","confirmed_service_grid","4","2","multi_brand_tax_prep_service_grid","19","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","midcities_power_event_field","confirmed_service_grid","12","3","multi_brand_tax_prep_service_grid","38","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","confirmed_service_grid","12","2","multi_brand_tax_prep_service_grid","62","3","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","confirmed_service_grid","20","3","multi_brand_tax_prep_service_grid","93","5","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","confirmed_service_grid","5","2","multi_brand_tax_prep_service_grid","51","5","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","confirmed_service_grid","12","3","multi_brand_tax_prep_service_grid","81","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","confirmed_service_grid","8","2","multi_brand_tax_prep_service_grid","79","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","confirmed_service_grid","7","2","multi_brand_tax_prep_service_grid","33","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","finance_fabric; tax_prep_selectivity; insurance_breadth","Build first A.4 service-quarter read from existing tax-prep and insurance rows; add finance where available.","Selection target only; public service-footprint evidence only, not income, wealth, credit, risk, demand, catchment, customer identity, or professional quality."
