"region","field_id","label","anchor_field","base_service_quarter_class","finance_signal","tax_prep_signal","insurance_signal","lan_fetch_status","lan_packet_ready_rows","legal_rows","accounting_rows","notary_rows","lan_excluded_rows","lan_pilot_signal","lan_texture_class","next_lan_priority","synthesis_note","claim_boundary"
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","confirmed_service_quarter_finance_observed","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","0","0","0","0","0","checked_absent_structured_lan","service_quarter_structured_lan_checked_absent","lan_regex_or_alternate_source_optional","Structured OSM legal/accounting/notary query returned no rows; this is not a broad name-regex absence claim.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","confirmed_service_quarter_finance_observed","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","0","0","0","0","0","checked_absent_structured_lan","service_quarter_structured_lan_checked_absent","lan_regex_or_alternate_source_optional","Structured OSM legal/accounting/notary query returned no rows; this is not a broad name-regex absence claim.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","confirmed_service_quarter_finance_dense","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","46","44","2","0","1","dense_lan_texture","service_quarter_with_dense_legal_accounting_texture","lan_texture_observed","Structured OSM legal/accounting rows add dense paperwork/advice service texture; no structured notary rows observed.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","midcities_power_event_field","confirmed_service_quarter_finance_observed","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","5","4","1","0","1","observed_lan_texture","service_quarter_with_observed_legal_accounting_texture","lan_texture_observed","Structured OSM legal/accounting rows add observed paperwork/advice service texture; no structured notary rows observed.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","confirmed_service_quarter_finance_dense","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","33","28","5","0","1","dense_lan_texture","service_quarter_with_dense_legal_accounting_texture","lan_texture_observed","Structured OSM legal/accounting rows add dense paperwork/advice service texture; no structured notary rows observed.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","confirmed_service_quarter_finance_dense","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","tiled_retry_promoted","18","13","4","1","0","observed_lan_texture","service_quarter_with_observed_legal_accounting_texture","lan_tile_retry_optional","Tiled retry adds observed legal/accounting texture plus one structured notary row; one tile remains source-gated, so count is conservative.","Structured legal/accounting/notary footprint only; retry-promoted fields may be tiled and partial; not complete professional-service coverage, professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","confirmed_service_quarter_finance_observed","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","14","12","2","0","0","observed_lan_texture","service_quarter_with_observed_legal_accounting_texture","lan_texture_observed","Structured OSM legal/accounting rows add observed paperwork/advice service texture; no structured notary rows observed.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","confirmed_service_quarter_finance_observed","observed","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","10","8","2","0","0","observed_lan_texture","service_quarter_with_observed_legal_accounting_texture","lan_texture_observed","Structured OSM legal/accounting rows add observed paperwork/advice service texture; no structured notary rows observed.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","confirmed_service_quarter_finance_dense","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","13","11","2","0","5","observed_lan_texture","service_quarter_with_observed_legal_accounting_texture","lan_texture_observed","Structured OSM legal/accounting rows add observed paperwork/advice service texture; no structured notary rows observed.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","confirmed_service_quarter_finance_dense","observed_dense","multi_brand_tax_prep_service_grid","dense_multi_brand_insurance_service_grid","fetched","34","33","1","0","2","dense_lan_texture","service_quarter_with_dense_legal_accounting_texture","lan_texture_observed","Structured OSM legal/accounting rows add dense paperwork/advice service texture; no structured notary rows observed.","Structured legal/accounting/notary footprint only; not complete professional-service coverage, not professional quality, clientele, income, credit, legal status, demand, catchment, or individual behavior."
