"region","field_id","label","anchor_field","selection_role","finance_rows","finance_signal","tax_prep_rows","tax_prep_brands","tax_prep_signal","insurance_rows","insurance_brands","insurance_signal","professional_services_signal","service_quarter_class","next_priority","synthesis_note","claim_boundary"
"washington","kitsap-mall","Kitsap Mall / Silverdale field","kitsap_regional_mall_field","confirmed_service_grid","13","observed","4","3","multi_brand_tax_prep_service_grid","17","5","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_observed","depth_ready","Tax prep and insurance already confirm service-grid depth, and bank / credit-union rows add observed finance fabric.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"chicago","ford-city-cicero","Midway / Ford City field","southwest_airport_edge_field","confirmed_service_grid","0","not_standardized_in_a4_sources","7","3","multi_brand_tax_prep_service_grid","17","5","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"chicago","loop-river-north","Loop / River North field","urban_core_mixed_service_field","confirmed_service_grid","0","not_standardized_in_a4_sources","4","2","multi_brand_tax_prep_service_grid","19","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"dallas","arlington-grand-prairie","Arlington / Grand Prairie field","midcities_power_event_field","confirmed_service_grid","0","not_standardized_in_a4_sources","12","3","multi_brand_tax_prep_service_grid","38","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"los_angeles","downtown-koreatown-midwilshire","Downtown LA / Koreatown / Mid-Wilshire field","urban_core_mixed_service_field","confirmed_service_grid","0","not_standardized_in_a4_sources","12","2","multi_brand_tax_prep_service_grid","62","3","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"los_angeles","long-beach-lakewood","Long Beach / Lakewood field","port_coastal_grid_mall_service_field","confirmed_service_grid","0","not_standardized_in_a4_sources","20","3","multi_brand_tax_prep_service_grid","93","5","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"los_angeles","ontario-rancho-cucamonga","Ontario Mills / Rancho Cucamonga field","inland_freeway_power_center_field","confirmed_service_grid","0","not_standardized_in_a4_sources","5","2","multi_brand_tax_prep_service_grid","51","5","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"los_angeles","riverside-tyler-corona","Riverside / Tyler / Corona edge field","inland_secondary_core_growth_field","confirmed_service_grid","0","not_standardized_in_a4_sources","12","3","multi_brand_tax_prep_service_grid","81","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"los_angeles","south-bay-torrance","South Bay / Torrance field","coastal_suburban_mall_auto_service_field","confirmed_service_grid","0","not_standardized_in_a4_sources","8","2","multi_brand_tax_prep_service_grid","79","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
"los_angeles","west-la-century-city-culver","West LA / Century City / Culver City field","affluent_office_retail_service_field","confirmed_service_grid","0","not_standardized_in_a4_sources","7","2","multi_brand_tax_prep_service_grid","33","4","dense_multi_brand_insurance_service_grid","confirmed_professional_services_grid","confirmed_service_quarter_finance_unstandardized","finance_standardization_needed","Tax prep and insurance confirm service-grid depth, but bank / credit-union rows are not standardized in current A.4 sources for this region.","Classification uses public service-footprint rows only; not income, wealth, credit, risk, customer identity, demand, catchment, trade area, professional quality, or individual behavior."
