"column","required","description","allowed_values"
"packet_id","yes","Stable current-enclave claim-packet identifier.","free text id"
"field_id","yes","Stable field id from the source module or target set.","free text id"
"label","yes","Human-readable selected field label.","free text"
"selection_role","yes","Why this field is in the first atlas/claim packet.","full_stack_case; movement_service_case; highway_service_case; depot_service_gap_case; ferry_provisioning_case; light_control_case"
"postal_legibility_layer","yes","A.1/A.1b addressability/civic-presence evidence state.","observed; method_baseline; not_scored; out_of_scope; source_gated"
"provisioning_layer","yes","A.2 town, mall, QSR, grocery/pharmacy, pizza, or everyday-service state.","observed; strong_partial; partial; profile_gap; not_scored; out_of_scope; source_gated"
"movement_layer","yes","A.3 port, ferry, depot, highway, lodging, truck-service, or logistics state.","observed; strong_partial; partial; context_only; profile_gap; not_scored; out_of_scope; source_gated"
"service_quarter_layer","yes","A.4 service-quarter synthesis state.","full; full_with_caveat; profile_gap; light_control; not_scored; out_of_scope; source_gated"
"source_gate_caveat","yes","Known source-gated item that constrains the packet.","none or concise caveat"
"claim_ready_status","yes","Whether the selected packet is ready for narrative drafting.","packet_ready; packet_ready_with_caveat; design_only; needs_source_closeout"
"claim_boundary","yes","Explicit things the packet does not claim.","free text"
