sidecar_layer,facility_or_signal,source_hint,priority,applies_to,next_action,claim_boundary
ferry_terminal,"ferry terminal; ferry route membership","WSDOT context fixture; public ferry terminal source; OSM ferry_terminal/ferry route tags",1,ferry_side_landing,"Build ferry terminal target boxes for Kingston, Bainbridge Island, and Bremerton.","Route or terminal presence only; not ferry catchment, schedule reliability, wait time, or travel demand."
transit_center,"rail station; bus station; transit center; public transport station","existing OSM transit-center fetcher; transit sidecar summaries",1,depot_intermodal,"Run or reuse transit-center sidecar for selected depot/intermodal and edge-city seed boxes.","Transit facility presence only; not commuter catchment or service frequency."
gas_convenience,"fuel; convenience; car-trip support","ret-cross-metro-gas-convenience-sidecar; OSM gas_convenience fetcher",1,highway_corridor_node,"Reuse field-aligned gas/convenience rows where available; source-gate older scopes.","Store/facility presence only; not trip purpose or service adequacy."
qsr_food,"four-brand QSR rows; dense/multi-brand/single-brand QSR signal","QSR summaries and reviewed Overture fixtures",1,highway_corridor_node,"Join QSR sidecars to A.3 seed boxes where field-aligned.","Public footprint evidence only; not diet, demand, or trade area."
pizza_carryout,"Domino's, Pizza Hut, Papa Johns, Little Caesars, Papa Murphy's","A.2 pizza sidecar contract and selected-node pass",2,ferry_side_landing;highway_corridor_node,"Reuse A.2 pizza sidecar as food-service/provisioning modifier.","Store-presence evidence only; not delivery territory or service adequacy."
auto_parts,"auto-parts store rows; repair/service corridor depth","auto-parts summaries and car-trip stack",1,highway_corridor_node,"Reuse field-aligned auto-parts rows and identify gaps in Washington/Atlanta alignment.","Commercial service evidence only; not vehicle ownership, repair demand, or catchment."
truck_stop,"truck stop; travel center; highway rest/service node","future OSM/brand/public source pass",1,highway_corridor_node,"Add truck-stop/travel-center sidecar before highway-node claim packets.","Facility presence only; not freight volume, trip purpose, or route choice."
motel_lodging,"motel; hotel near interchange or movement node","future OSM/public source pass",2,port_event_industrial;highway_corridor_node,"Add lodging sidecar only after core movement sidecars are stable.","Lodging presence only; not tourism demand or overnight catchment."
logistics_industrial,"warehouse; logistics edge; port industrial support","future OSM/public source pass",2,port_event_industrial,"Define a conservative logistics sidecar with strict false-positive review.","Industrial/logistics footprint only; not freight flow, employment, or supply-chain volume."
port_event_anchor,"port, arena, stadium, terminal, industrial/event district anchor","existing anchor-field labels; future public source pass",1,port_event_industrial,"Separate named anchor context from measured sidecar rows in first A.3 pass.","Anchor context only; not authority boundary, attendance, freight flow, or trade area."
