metric,key,v0_rows,v1_rows,delta_rows
anchor_modifier,active_regional_mall_anchor,2,4,2
anchor_modifier,urban_mall_service_grid,1,3,2
anchor_modifier,small_complex_service_edge,2,3,1
anchor_modifier,complex_service_modifier,1,2,1
anchor_modifier,capacity_profile_mixed,2,2,0
anchor_modifier,edge_city_mall_service_grid,2,2,0
anchor_modifier,legacy_mall_grocery_service_grid,1,1,0
anchor_modifier,legacy_mall_service_grid,1,1,0
anchor_modifier,mall_anchor_needs_category_depth,2,2,0
anchor_modifier,no_complex_signal,4,4,0
anchor_modifier,urban_mall_grocery_grid,1,1,0
geography_scope,district_field,0,6,6
geography_scope,district_core,7,7,0
geography_scope,district_wide,2,2,0
geography_scope,reviewed_zone,10,10,0
region,puget_sound_anchor_fields,0,6,6
region,atlanta_districts,9,9,0
region,north_seattle_south_snohomish,10,10,0
