target_id,target_label,anchor_field,brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,7f610c71-b8d5-4408-90d9-9786afc18fd6,10 Penn Center,1801 Market St,Philadelphia,PA,19103,39.95351791381836,-75.17035675048828,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Plaza,e6881b3c-9375-4a8c-8f81-d237df12a7ad,10th Street Plaza,10 Vine St,Philadelphia,PA,19106-14ND,39.95699691772461,-75.15562438964844,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Mall,57481f41-4686-4440-b7fb-3dac787dca3e,150 s independence mall w,150 s independence mall w,philadelphia,PA,19106,39.94919967651367,-75.1509780883789,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,37d20f33-0e5d-4a7a-bd9c-2568637c4797,4 Penn Center,1600 John F Kennedy Blvd,Philadelphia,PA,19103-2800,39.95363998413086,-75.16718292236328,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,daa4bfc0-441b-4c36-864f-72c4223f3b54,8 Penn Center,1628 John F Kennedy Blvd,Philadelphia,PA,19103,39.95376968383789,-75.16800689697266,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,ea9f812c-3e6e-405f-b797-01cce5d61f97,931 Skin Care & Beauty Center,1005 Race St,Philadelphia,PA,19107-1836,39.95551681518555,-75.1561508178711,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,b379b254-6a36-4f0d-8512-e00910990dc8,A Hearing Healthcare Center,1900 Rittenhouse Sq,Philadelphia,PA,19103,39.94856643676758,-75.17284393310547,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,4f448ce4-b8ed-446f-8f1e-f40f00fd903f,ABCO Refrigeration | Center City,801 Callowhill St,Philadelphia,PA,19123,39.9586296081543,-75.15241241455078,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail District,b82e1816-439f-4dac-bcb6-6c28a4b88267,AFSCME District Council 47,1606 Walnut St,Philadelphia,PA,19103-5422,39.94976043701172,-75.16796112060547,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail District,a9895bcc-a9a9-42b4-a5f9-d9c0879df1fc,AMC DINE-IN Fashion District 8,1001 Market St,Philadelphia,PA,19107,39.95216369628906,-75.157470703125,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,95a0fc29-7b4e-4970-b66a-9f34663ec359,AOC Watches Pre-Owned Rolex Center,729 Sansom St,Philadelphia,PA,19106,39.94891357421875,-75.15362548828125,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,9cb55710-3978-4600-a6e8-eaeec61a0893,Abramson Cancer Center,230 W Washington Sq,Philadelphia,PA,19106-3500,39.94622039794922,-75.15380096435547,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,15908d34-38f0-4699-aab0-ba77d37560e8,Academy Chiropractic Center,1420 Locust St,Philadelphia,PA,19102-4201,39.947959899902344,-75.16609191894531,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,60e99594-ca3a-4383-8729-3f532f7edd24,Achieving Independence Center,1118 Market St,Philadelphia,PA,19107-3601,39.9516487121582,-75.15901947021484,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,c6d6b6e4-6934-4818-afb1-6d99a495df96,Acupuncture Center City Philadelphia,255 S 17th St,Philadelphia,PA,19103-6200,39.94819641113281,-75.16938018798828,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,43b36dfd-2126-4b84-aa2d-9a334405cc01,Adoption Center,1735 Market St,Philadelphia,PA,19103-7500,39.95366668701172,-75.16958618164062,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,cadb01da-6e6f-4e60-b6ec-7637988f6353,Advanced Dentistry of Center City,1601 Walnut St,Philadelphia,PA,19102-2901,39.94997787475586,-75.16766357421875,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Mall,7f6b252c-ebe2-4b18-9785-fc370eff7c92,Advanced Neurology Associates Pc-sba Small 7a Term,822 Pine St Ste 1c,Philadelphia,PA,19107-6187,39.944149017333984,-75.1561050415039,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,a25098bc-f5f5-4316-bd70-567bc8aa20ab,Advanced Spinal Care Center,1129 Pine St,Philadelphia,PA,19107,39.94516372680664,-75.16083526611328,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,505958f9-a866-4bf7-aa0d-23135e123623,All Smiles Dental Implant Center,501 S 4th St,Philadelphia,PA,19147-1506,39.94255828857422,-75.1489028930664,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,a946130f-8b7d-4b88-be22-6b33f13439bd,Alpha Center for Divorce Mediation,1515 Market St,Philadelphia,PA,19102-1900,39.95283126831055,-75.1659164428711,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail District,ebb679de-3e22-4bf2-bce8-ef6164b9c89d,Amc Dine-in Fashion District 8,1001 Market St Unit 3050  Ste 3050,Philadelphia,PA,19107-3016,39.95199966430664,-75.1572494506836,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,d8d1c5fd-e835-4d7b-85b6-6c1c09770804,American Catholic Historical Research Center,263 S 4th St,Philadelphia,PA,19106-3819,39.94554138183594,-75.14818572998047,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,fb3fb63f-63ad-4178-9fb1-4cd297f863d4,American Executive Centers,1515 Market St,Philadelphia,PA,19102-1900,39.95282745361328,-75.16592407226562,Overture Places 2026-07-22.0,2026-07-22,open
center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,Retail Center,979d545f-1d68-4dda-a500-aa48cefc9462,American Red Cross Blood Donation Center,700 Spring Garden St,Philadelphia,PA,19123,39.96142578125,-75.15079498291016,Overture Places 2026-07-22.0,2026-07-22,open
