region,field_id,label,anchor_field,enclave_family,type_discovery_label,car_trip_stack_signal,profile_basis,comparison_tier
dallas,northpark-preston-hollow,NorthPark / Preston Hollow field,north_dallas_regional_mall_field,affluent_town_center_field,affluent_complex_grocery_health_costco_field,mixed_car_trip_stack,pre_scale_5_layer_stack,type_discovery_comparable
dallas,southlake-town-square,Southlake Town Square field,affluent_suburban_town_center_field,affluent_town_center_field,town_center_grocery_health_complex_field,light_car_trip_support_core_field,pre_scale_5_layer_stack,type_discovery_comparable
los_angeles,west-la-century-city-culver,West LA / Century City / Culver City field,affluent_office_retail_service_field,affluent_town_center_field,confirmed_affluent_target_grocery_health_complex,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack,type_discovery_comparable
washington,south-hill-puyallup,South Hill / Puyallup field,,car_oriented_corridor_enclave,car_trip_finance_household_edge_field,stack_not_field_aligned,full_11_dimension_context,baseline_comparable
atlanta,camp-creek,Camp Creek field,airport_edge_power_center,car_oriented_corridor_enclave,finance_car_trip_wellness_airport_edge_field,stack_not_field_aligned,full_11_dimension_context,type_discovery_partial
philadelphia,cherry-hill-moorestown,Cherry Hill / Moorestown field,south_jersey_mall_edge_field,car_oriented_corridor_enclave,south_jersey_mall_big_box_grocery_qsr_auto_corridor,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack_with_sidecars,type_discovery_comparable
philadelphia,northeast-roosevelt,Northeast Philadelphia / Roosevelt Boulevard field,inner_suburban_auto_corridor_field,car_oriented_corridor_enclave,older_auto_corridor_mall_grocery_qsr_auto_service_field,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack_with_sidecars,type_discovery_comparable
atlanta,north-point-wide,North Point / Alpharetta widened field,edge_city_mall_field,edge_city_big_box_power_field,open_space_health_wellness_edge_city_field,stack_not_field_aligned,full_11_dimension_context,type_discovery_partial
atlanta,perimeter-wide,Perimeter widened field,edge_city_mall_field,edge_city_big_box_power_field,transit_health_edge_city_field,stack_not_field_aligned,full_11_dimension_context,type_discovery_partial
chicago,oakbrook-wide,Oakbrook widened field,west_suburban_edge_city_field,edge_city_big_box_power_field,confirmed_postal_big_box_edge_field,light_service_node_car_trip_support,pre_scale_6_layer_stack,type_discovery_comparable
chicago,woodfield-schaumburg,Woodfield / Schaumburg field,northwest_edge_city_mall_field,edge_city_big_box_power_field,confirmed_edge_city_mall_grocery_field,mixed_car_trip_stack,pre_scale_6_layer_stack,type_discovery_comparable
dallas,galleria-addison,Galleria / Addison field,north_dallas_edge_city_field,edge_city_big_box_power_field,edge_city_grocery_big_box_complex_field,mixed_car_trip_stack,pre_scale_5_layer_stack,type_discovery_comparable
dallas,legacy-frisco-plano,Legacy / Frisco / Plano field,north_growth_edge_city_field,edge_city_big_box_power_field,growth_edge_mall_grocery_health_big_box_field,gas_highway_car_trip_grid_auto_service_light,pre_scale_5_layer_stack,type_discovery_comparable
los_angeles,riverside-tyler-corona,Riverside / Tyler / Corona edge field,inland_secondary_core_growth_field,edge_city_big_box_power_field,confirmed_plaza_big_box_grocery_health_field,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack,type_discovery_comparable
los_angeles,south-bay-torrance,South Bay / Torrance field,coastal_suburban_mall_auto_service_field,edge_city_big_box_power_field,confirmed_postal_big_box_grocery_cvs_complex,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack,type_discovery_comparable
atlanta,cumberland-vinings,Cumberland / Vinings field,suburban_mall_edge,health_finance_household_service_field,finance_household_wellness_service_field,stack_not_field_aligned,full_11_dimension_context,type_discovery_partial
atlanta,northlake,Northlake field,legacy_suburban_mall_node,health_finance_household_service_field,finance_car_trip_health_trade_wellness_legacy_mall_field,stack_not_field_aligned,full_11_dimension_context,type_discovery_partial
washington,tacoma-mall,Tacoma Mall field,,mall_led_regional_field,mall_car_trip_small_trade_household_field,stack_not_field_aligned,full_11_dimension_context,baseline_comparable
chicago,ford-city-cicero,Midway / Ford City field,southwest_airport_edge_field,mall_led_regional_field,confirmed_mall_big_box_grocery_field,combined_car_oriented_retail_corridor,pre_scale_6_layer_stack,type_discovery_comparable
chicago,old-orchard-skokie,Old Orchard / Skokie field,north_suburban_mall_field,mall_led_regional_field,confirmed_single_grocery_mall_field,light_car_trip_support_core_field,pre_scale_6_layer_stack,type_discovery_comparable
chicago,orland-square,Orland Square field,south_suburban_mall_field,mall_led_regional_field,confirmed_grocery_supported_mall_field,mixed_car_trip_stack,pre_scale_6_layer_stack,type_discovery_comparable
los_angeles,glendale-burbank,Glendale / Burbank field,valley_media_retail_edge_field,mall_led_regional_field,confirmed_mall_big_box_grocery_cvs_field,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack,type_discovery_comparable
los_angeles,ontario-rancho-cucamonga,Ontario Mills / Rancho Cucamonga field,inland_freeway_power_center_field,mall_led_regional_field,confirmed_mall_big_box_grocery_cvs_field,combined_car_oriented_retail_enclave,pre_scale_5_layer_stack,type_discovery_comparable
