metro,Atlanta-Sandy Springs-Roswell GA
total_stores,363

brand,stores
Advance Auto Parts,122
AutoZone,124
NAPA Auto Parts,12
O'Reilly Auto Parts,105

county_geoid,county_name,leader,leader_stores,total_stores,status
13013,Barrow County,Advance Auto Parts,2,6,contested
13015,Bartow County,Advance Auto Parts,4,9,contested
13035,Butts County,Advance Auto Parts,1,3,contested
13045,Carroll County,AutoZone,5,10,contested
13057,Cherokee County,Advance Auto Parts,6,16,contested
13063,Clayton County,O'Reilly Auto Parts,7,17,contested
13067,Cobb County,Advance Auto Parts,18,51,contested
13077,Coweta County,AutoZone,4,11,contested
13085,Dawson County,AutoZone,2,4,contested
13089,DeKalb County,AutoZone,17,44,contested
13097,Douglas County,Advance Auto Parts,4,11,contested
13113,Fayette County,AutoZone,4,8,contested
13117,Forsyth County,Advance Auto Parts,4,11,contested
13121,Fulton County,AutoZone,17,41,contested
13135,Gwinnett County,Advance Auto Parts,21,54,contested
13143,Haralson County,Advance Auto Parts,2,3,dominant
13151,Henry County,AutoZone,7,20,contested
13187,Lumpkin County,Advance Auto Parts,1,2,contested
13199,Meriwether County,Advance Auto Parts,1,2,contested
13211,Morgan County,Advance Auto Parts,1,3,contested
13217,Newton County,Advance Auto Parts,2,5,contested
13223,Paulding County,AutoZone,4,9,contested
13227,Pickens County,AutoZone,1,2,contested
13247,Rockdale County,O'Reilly Auto Parts,3,7,contested
13255,Spalding County,Advance Auto Parts,2,6,contested
13297,Walton County,Advance Auto Parts,2,8,contested

brand,store_id,city,county_name,nearest_brand,nearest_store_id,nearest_city,nearest_county_name,distance_miles
AutoZone,395a208b-9ac9-43d3-bf90-3a3dad4d65b7,Newnan,Coweta County,O'Reilly Auto Parts,5c8baa39-74c1-475a-a81f-9e07f4f08e98,Newnan,Coweta County,0.02
O'Reilly Auto Parts,5c8baa39-74c1-475a-a81f-9e07f4f08e98,Newnan,Coweta County,AutoZone,395a208b-9ac9-43d3-bf90-3a3dad4d65b7,Newnan,Coweta County,0.02
AutoZone,412529d5-61a8-44bd-a7c9-bd60e4ce7f74,Brookhaven,DeKalb County,O'Reilly Auto Parts,98d2e7ec-ce87-4977-9b60-9879af2552c6,Brookhaven,DeKalb County,0.03
O'Reilly Auto Parts,98d2e7ec-ce87-4977-9b60-9879af2552c6,Brookhaven,DeKalb County,AutoZone,412529d5-61a8-44bd-a7c9-bd60e4ce7f74,Brookhaven,DeKalb County,0.03
AutoZone,fce4dd88-4c08-499b-a61b-98295094183a,Union City,Fulton County,Advance Auto Parts,ff3bdab6-6688-4d65-b1bd-2af1abc89963,Fairburn,Fulton County,0.04
Advance Auto Parts,ff3bdab6-6688-4d65-b1bd-2af1abc89963,Fairburn,Fulton County,AutoZone,fce4dd88-4c08-499b-a61b-98295094183a,Union City,Fulton County,0.04
O'Reilly Auto Parts,23e665e4-c058-4603-8a80-7938f981d7bf,Acworth,Cobb County,AutoZone,fe26e16c-1f29-442d-bba3-e17903fa8f96,Acworth,Cobb County,0.05
AutoZone,fe26e16c-1f29-442d-bba3-e17903fa8f96,Acworth,Cobb County,O'Reilly Auto Parts,23e665e4-c058-4603-8a80-7938f981d7bf,Acworth,Cobb County,0.05
O'Reilly Auto Parts,48196d3f-c845-4e61-a6c8-c37d8658c5ec,Kennesaw,Cobb County,AutoZone,c5d5d79f-df3f-4e47-8651-cc4cc109c09b,Kennesaw,Cobb County,0.05
AutoZone,c5d5d79f-df3f-4e47-8651-cc4cc109c09b,Kennesaw,Cobb County,O'Reilly Auto Parts,48196d3f-c845-4e61-a6c8-c37d8658c5ec,Kennesaw,Cobb County,0.05
O'Reilly Auto Parts,18280567-8c88-49bf-b34c-cb27ce808113,Carrollton,Carroll County,Advance Auto Parts,7f4a2d8c-3036-44d6-81fd-4bee040fbcff,Carrollton,Carroll County,0.05
Advance Auto Parts,7f4a2d8c-3036-44d6-81fd-4bee040fbcff,Carrollton,Carroll County,O'Reilly Auto Parts,18280567-8c88-49bf-b34c-cb27ce808113,Carrollton,Carroll County,0.05
