county_geoid,county_name,cbsa_code,cbsa_title,cbsa_type,csa_code,csa_title,central_outlying,metro_context_status,relationship_source,relationship_vintage
13009,Baldwin County,33300,Milledgeville GA,Micropolitan Statistical Area,,,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13013,Barrow County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,Outlying,cbsa,Census July 2023 CBSA delineation file,2023-07
13015,Bartow County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,Outlying,cbsa,Census July 2023 CBSA delineation file,2023-07
13021,Bibb County,31420,Macon-Bibb County GA,Metropolitan Statistical Area,356,Macon-Bibb County--Warner Robins GA,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13031,Bulloch County,44340,Statesboro GA,Micropolitan Statistical Area,496,Savannah-Hinesville-Statesboro GA,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13045,Carroll County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,Outlying,cbsa,Census July 2023 CBSA delineation file,2023-07
13047,Catoosa County,16860,Chattanooga TN-GA,Metropolitan Statistical Area,174,Chattanooga-Cleveland-Dalton TN-GA-AL,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13051,Chatham County,42340,Savannah GA,Metropolitan Statistical Area,496,Savannah-Hinesville-Statesboro GA,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13057,Cherokee County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13059,Clarke County,12020,Athens-Clarke County GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13063,Clayton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13069,Coffee County,20060,Douglas GA,Micropolitan Statistical Area,,,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
13071,Colquitt County,34220,Moultrie GA,Micropolitan Statistical Area,,,Central,cbsa,Census July 2023 CBSA delineation file,2023-07
