target_id,primary_city,evidence_item,source_name,source_url,source_date,observed_name,observed_address,latitude,longitude,inside_target_box,evidence_role,geocoder_source,review_note
national-post-office-wy-auburn-0e0a391047,Auburn,post_office_geocode,USPS locator,https://tools.usps.com/locations/details/1353649,2026-08-16,Auburn Post Office,449 1st West St Auburn WY 83111,42.793006540278,-111.001044005179,yes,confirms_postal_anchor,U.S. Census Geocoder,USPS lists Auburn Post Office and Census geocoder places the address inside the sampled target box. Scoped-frame reuse batch 1: evidence is ported from the selected-wave Wyoming depth review only for these same target_id rows; it does not create denominator or estimator readiness.
national-post-office-wy-auburn-0e0a391047,Auburn,landscape_sod_trade_service,Star Valley Sod,https://www.starvalleysod.com/,2026-08-16,Star Valley Sod,5341 State Highway 238 Afton WY 83110,42.774837489761,-110.997810097455,yes,inside_box_trade_service,U.S. Census Geocoder,Star Valley Sod lists local sod products and pickup options; Census geocoder places the address inside the Auburn target box. Scoped-frame reuse batch 1: evidence is ported from the selected-wave Wyoming depth review only for these same target_id rows; it does not create denominator or estimator readiness.
national-post-office-wy-auburn-0e0a391047,Auburn,nearby_outside_food_service,Realtor.com nearby places,https://www.realtor.com/realestateandhomes-detail/4039-State-Highway-238_Auburn_WY_83111_M76382-04673,2026-08-16,Los Cabos Baja Family Mexican Restaurant; Cedar Creek Grill; Snoasis,Afton WY,,,no,nearby_outside_target_box,source_distance_only,Nearby-place listing places restaurants about 4.7 to 4.8 miles away from an Auburn address; these are outside-target context and not inside-box contradictions. Scoped-frame reuse batch 1: evidence is ported from the selected-wave Wyoming depth review only for these same target_id rows; it does not create denominator or estimator readiness.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,post_office_geocode,USPS locator,https://tools.usps.com/locations/details/1357090,2026-08-16,Carpenter Post Office,322 1st St Carpenter WY 82054,41.045637099418,-104.365724334065,yes,confirms_postal_anchor,U.S. Census Geocoder,USPS lists Carpenter Post Office and Census geocoder places the address inside the sampled target box. Scoped-frame reuse batch 1: evidence is ported from the selected-wave Wyoming depth review only for these same target_id rows; it does not create denominator or estimator readiness.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,nearby_outside_gas_food_laundry,Antelope Truck Stop directory,https://www.truckstopsandservices.com/location_details.php?id=264,2026-08-16,Antelope Truck Stop,4850 I-80 Service Rd Burns WY 82053,41.158388605594,-104.400019146264,no,nearby_outside_target_box,U.S. Census Geocoder,Directory lists convenience store deli restaurant laundry and fuel amenities; Census geocoder places the address north of the Carpenter target box. Scoped-frame reuse batch 1: evidence is ported from the selected-wave Wyoming depth review only for these same target_id rows; it does not create denominator or estimator readiness.
national-post-office-wy-carpenter-wy-f9563226fe,Carpenter WY,nearby_outside_gas_food_laundry,TravelCenters of America,https://www.ta-petro.com/location/wy/ta-cheyenne/,2026-08-16,TA Cheyenne,4000 I-80 Service Road Burns WY 82053,41.159631935412,-104.522379012701,no,nearby_outside_target_box,U.S. Census Geocoder,TA lists fuel food and laundry/service amenities at Burns; Census geocoder places the address outside the Carpenter target box. Scoped-frame reuse batch 1: evidence is ported from the selected-wave Wyoming depth review only for these same target_id rows; it does not create denominator or estimator readiness.
national-post-office-wy-fort-bridger-8920c21878,Fort Bridger,nearby_outside_gas_food_laundry,TravelCenters of America,https://www.ta-petro.com/location/wy/ta-ft-bridger/,2026-08-16,TA Ft. Bridger #0188,I-80 at Bigelow Road Exit 30 Fort Bridger WY 82933,41.3144,-110.5095,no,nearby_outside_target_box,TA page embedded Google map geocode,"TA page lists the Ft. Bridger travel center with fuel, food options, travel store, laundry room, and other amenities; embedded map geocode is west of the Fort Bridger scoped target box."
national-post-office-wy-fort-bridger-8920c21878,Fort Bridger,nearby_outside_gas_cstore_restaurant,Shell station locator,https://find.shell.com/us/fuel/10083950-interstate-80-exit-30-bigelow-rd/en_US,2026-08-16,Shell / Interstate 80 Exit 30 Bigelow Rd,Interstate 80 Exit 30 Bigelow Rd Fort Bridger WY 82933,41.3144,-110.5095,no,nearby_outside_target_box,TA page embedded Google map geocode for same Exit 30 facility,"Shell locator corroborates fuel, C-Store, restaurant, food offerings, and 24-hour fuel at the same Exit 30 Bigelow Road service-station context; coordinate basis places it outside the scoped target box."
national-post-office-wy-hartville-805f814baf,Hartville,inside_box_food_service,Miners and Stockmen’s Steakhouse & Spirits official site,https://minersandstockmens.com/,2026-08-16,Miners and Stockmen’s Steakhouse & Spirits,608 Main St Hartville WY 82215,42.3286920,-104.7214573,yes,inside_box_food_service,Nominatim Main Street Hartville street geocode; Census address geocoder returned no match,"Official site lists steakhouse dining, menu items, hours, phone, and 608 Main St address; the Main Street Hartville geocode falls inside the Hartville scoped target box."
national-post-office-wy-hartville-805f814baf,Hartville,inside_box_food_service_corrob,Wyoming’s Oldest Bar / Miners and Stockmen’s,https://www.wyomingsoldestbar.com/,2026-08-16,Miners and Stockmen’s Steakhouse and Spirits,Hartville WY 82215,42.3286920,-104.7214573,yes,inside_box_food_service,Nominatim Main Street Hartville street geocode; Census address geocoder returned no match,Corroborating site describes the Hartville restaurant/bar as open Thursday through Sunday year-round and offering steakhouse food; coordinate basis places Main Street Hartville inside the scoped target box.
