design_item,status,required_evidence,current_evidence_gap,implementation_path,validation_gate,allowed_after_gate,blocked_until_gate,claim_boundary
analysis_unit,defined_for_design,"Target-box unit must be explicitly defined as a public-post-office-centered sampled target box with fixed latitude/longitude bounds and versioned target construction.","Current selected wave uses target boxes but not a complete national or stratum frame.","Reuse the existing target-box construction script after frame extraction; version any changed box radius, geocoder, or seed semantics.","Every frame row has target_id, seed facility, center coordinate, target bounds, state, stratum, and source lineage.","Target-box frequency within the defined frame.","City, ZIP, ZCTA, parish, catchment, or trade-area frequency.","Frequency applies only to the declared target-box frame."
frame_scope,not_yet_defined,"Choose national full frame, regional stratum frame, or explicitly scoped multi-stratum frame before estimating frequency.","No current complete public-post-office frame exists for national or stratum inference.","Create a frame manifest that enumerates all eligible public-post-office seed rows for the chosen scope before sampling or census review.","Frame manifest row counts reconcile to seed extraction, semantic filtering, deduplication, and exclusion rules.","Frequency for the chosen frame scope only.","Any broader region or nation outside the declared frame.","Frame scope must travel with every estimate."
public_post_office_semantics,required,"Define which USPS/OSM/public-post-office records are eligible and which private shipping, annex, finance, campus, contract, or semantic edge cases are excluded.","Current selected wave has semantic gates but not a complete frame-wide semantics policy.","Promote the seed-semantics review rules into a versioned frame-semantics contract and run it across the chosen frame.","Semantic status counts and excluded-row examples are reviewed before target construction.","Frame denominator after public-post-office filtering.","Claims over all postal-like labels or private shipping locations.","Eligibility is public-post-office-frame only."
sampling_option,choose_one,"Pick full-frame census review or probability sample before execution.","Current selected manifest is purposive and cannot be retrofitted into a probability sample.","If census: review every eligible frame target. If probability: define strata, sample sizes, random seed, inclusion probabilities, and nonresponse/exclusion handling before drawing rows.","Design file records sampling seed, draw method, inclusion probability, and finite-population stratum size for every sampled row.","Weighted or full-frame target-box estimates only after the draw/census is complete and validated.","Unweighted regional or national prevalence from purposive rows.","Do not mix selected-wave rows into probability estimates unless they were drawn by the design."
stratification,not_yet_defined,"Define strata before sampling: candidate options include Census region, rurality/settlement proxy, remoteness, state group, or public-post-office density.","Current strata are evidence-organization labels, not sampling strata with frame sizes.","Build a stratum assignment table for every frame row, then review minimum frame counts and expected precision before sampling.","Every frame row has exactly one primary stratum and documented optional secondary labels.","Stratum estimates only for strata with frame sizes and valid sample/census treatment.","Stratum rates from one purposive manifest row.","Strata are design variables, not narrative labels."
inclusion_probabilities,required_for_probability,"For probability sampling, each sampled row must have a known nonzero inclusion probability.","No inclusion probabilities exist for current manifest rows.","Use simple random, stratified random, PPS, or two-stage design with formulae recorded before sample draw.","Audit confirms pi values, weights, and row-selection hashes for all sampled rows.","Weighted point estimates and design-based uncertainty if all other gates pass.","Confidence intervals or margins of error without design weights.","Required only for probability path; census path uses complete enumeration."
estimator_plan,required,"Define numerator, denominator, exclusions, weights, finite-population correction, and variance estimator before reporting frequency.","Current artifacts define descriptive numerator/denominator only for selected wave.","Write estimator spec for candidate share, class shares, exclusion handling, and uncertainty; include formulas and reproducible script target.","Dry-run estimator on current selected wave as non-inferential test data; block inferential labels until probability/full-frame data exist.","Frequency estimates with stated estimator and uncertainty for probability path; exact frame share for census path.","Ad hoc percentages without estimator provenance.","Estimator scope must match frame and sampling path."
source_gate_policy,required,"Define how source-gated, current-anchor-failed, private-shipping, seed-mismatch, and operations-gated rows affect denominator and numerator.","Current selected-wave source gate exists but needs promotion into frame-wide policy.","Reuse denominator exclusion ledger categories and predeclare whether each is denominator exclusion, numerator exclusion, repair queue, or sensitivity case.","Exclusion ledger summary reconciles to frame/sample totals and sensitivity table if needed.","Estimates with transparent exclusions and optional sensitivity bounds.","Frequency claims that hide source-gated or operations-gated rows.","Exclusion policy must be stable before estimation."
minimum_depth_review,required,"Define required source review depth for every numerator candidate and for sampled non-candidates if auditing false negatives.","Current hardened packets cover only current 9 selected-wave survivors.","Specify source types, recency checks, current-anchor verification, geocoding standards, and contradiction handling for every candidate in the designed frame/sample.","Every numerator candidate has source-review rows, decision row, and synthesis class; audit sample of non-candidates passes false-negative check if required.","Candidate-class estimates with review-depth provenance.","Complete-service-absence claims or catchment claims.","Depth review authorizes target-box classes only."
geocoder_policy,required,"Define primary and fallback geocoders plus rules for rural addresses, unresolved points, and conflicting source coordinates.","Current work uses Census geocoder, Geofabrik/OSM geometry, and Nominatim fallbacks case by case.","Write a geocoder precedence contract and require geocode_source for every source row used in numerator decisions.","Geocode audit identifies unresolved, fallback, and conflict rows before estimation.","Target-box inside/outside decisions with reproducible geocode provenance.","Inside/outside claims with undocumented geocoding.","Geocoding supports target-box classification only."
reporting_language,required,"Predeclare allowed and blocked wording for each design path.","Current language gate blocks broad claims but does not yet define post-design wording.","Extend frequency-language decision gate after design selection and estimator implementation.","Review packet contains allowed statement templates and blocked overclaims.","Only the approved wording for the selected design path.","Smallest postal parish, service adequacy, catchment isolation, or customer behavior unless separately designed.","Reporting language must match evidence scope."
go_no_go,blocked_until_design_selected,"No regional, stratum, or national frequency work proceeds until frame scope and sampling/census path are selected.","Current state has no selected frame scope or design path.","Choose design path, create frame manifest, and implement estimator/validation scripts.","All required design rows are pass or explicitly out of scope with rationale.","Frequency-language upgrade.","Regional, stratum, or national frequency from current selected wave.","Current allowed claim remains selected-wave descriptive 9/128."
