contract_field,required_value,reason,claim_boundary
unit_of_analysis,bounded post-office-centered target box,The next stage must start from observed postal infrastructure rather than sparse chain labels alone.,"Target boxes are probes, not city, ZIP, ZCTA, CDP, county, postal-locality, trade-area, or catchment boundaries."
primary_seed_source,open post-office or postal civic point source,The national sample must be reproducible and license-compatible.,"Do not use restricted USPS address files or proprietary POI sources without a new source-policy review."
sample_design,stratified sampled frame,The pilots are geographically narrow and should not be treated as national frequency evidence.,"Sampling can estimate a pattern only after strata, inclusion rules, and source gates are fixed."
minimum_strata,census_region_or_equivalent plus settlement_size_proxy,The sample should avoid overfitting to coastal, Southeast, or Great Lakes/Midwest pilots.,"Strata are analytic controls, not demographic, income, or adequacy claims."
candidate_box_size,documented fixed radius or documented rural/urban variant,Every target must have comparable sidecar search geometry.,"Changing box size after seeing results requires a new versioned sample contract."
required_sidecars,food_service; gas_convenience; dollar_store; hardware; laundromat,These are the sidecars proven useful in the three-state pilots.,"Sidecars are evidence of observed anchors, not complete local inventories."
classifier_schema,reuse state-pilot minimum-stack classifier columns,The national sample must remain comparable to Washington, Georgia, and Illinois.,"Do not add national-only class meanings without updating the typology."
source_gate_rule,contradictory zero rows or API limits become source_gated,Illinois showed one OSM access path can return false zeroes.,"A source gate is not checked absence and cannot support postal-only classification."
postal_only_rule,postal_only_candidate requires observed post office and completed checked-absent sidecars,The pilots found no postal-only cases and showed food-service omissions are easy.,"No postal-only claim is allowed when food-service or post-office evidence is source-gated."
publication_gate,report observed sample counts and unresolved gates before national frequency,The first national output should be methodological, not declarative.,"No smallest-place or national frequency claim until source-gated strata are resolved or explicitly modeled."
