exclusion_id,stratum,state,run_slug,target_id,primary_city,seed_facility_id,seed_facility_name,denominator_eligibility,exclusion_category,exclusion_status,repair_or_exclusion_decision,source_status,evidence_summary,next_action,claim_boundary
a1b-exclusion-001,New England,RI,rhode-island-new-england,national-post-office-ri-clayville-f1ff22f00c,Clayville,osm:node:357268303,Clayville Post Office,excluded_current_anchor_not_confirmed,current_anchor_failure,active_exclusion,exclude_from_clean_denominator,current_anchor_status_gated,Current-anchor review did not confirm a current inside-box postal anchor.,Keep excluded unless a later current-anchor source confirms the postal anchor inside the sampled target box.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-002,Appalachia,WV,west-virginia-appalachia,national-post-office-wv-addison-ce6230c810,Addison,osm:node:357526773,Addison Post Office,excluded_seed_state_mismatch,seed_state_mismatch,active_exclusion,exclude_from_clean_state_denominator,seed_state_mismatch_confirmed,Settlement repair confirms the seed point resolves outside the stated sample state.,Keep excluded from this state-stratum denominator; handle only through a future corrected-state sample if needed.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-003,Appalachia,WV,west-virginia-appalachia,national-post-office-wv-advent-6703372d97,Advent,osm:node:356529749,Advent Post Office,excluded_current_anchor_not_confirmed,current_anchor_failure,active_exclusion,exclude_from_clean_denominator,current_anchor_status_gated,Current-anchor review did not confirm a current inside-box postal anchor.,Keep excluded unless a later current-anchor source confirms the postal anchor inside the sampled target box.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-004,Appalachia,WV,west-virginia-appalachia,national-post-office-wv-alvy-528cc43221,Alvy,osm:node:356535125,Alvy Post Office,excluded_current_anchor_not_confirmed,current_anchor_failure,active_exclusion,exclude_from_clean_denominator,current_anchor_status_gated,Current-anchor review did not confirm a current inside-box postal anchor.,Keep excluded unless a later current-anchor source confirms the postal anchor inside the sampled target box.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-005,Appalachia,WV,west-virginia-appalachia,national-post-office-wv-ameagle-9cd071b90e,Ameagle,osm:node:356538069,Ameagle Post Office,excluded_current_anchor_not_confirmed,current_anchor_failure,active_exclusion,exclude_from_clean_denominator,current_anchor_status_gated,Current-anchor review did not confirm a current inside-box postal anchor.,Keep excluded unless a later current-anchor source confirms the postal anchor inside the sampled target box.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-006,Appalachia,WV,west-virginia-appalachia,national-post-office-wv-annamoriah-d4deb06470,Annamoriah,osm:way:1174487818,Annamoriah Post Office,excluded_current_anchor_not_confirmed,current_anchor_failure,active_exclusion,exclude_from_clean_denominator,current_anchor_status_gated,Current-anchor review did not confirm a current inside-box postal anchor.,Keep excluded unless a later current-anchor source confirms the postal anchor inside the sampled target box.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-007,Appalachia,WV,west-virginia-appalachia,national-post-office-wv-anthony-bd47863ac8,Anthony,osm:node:356529170,Anthony Post Office,excluded_current_anchor_not_confirmed,current_anchor_failure,active_exclusion,exclude_from_clean_denominator,current_anchor_confirmed_outside_box,Current-anchor review did not confirm a current inside-box postal anchor.,Keep excluded unless a later current-anchor source confirms the postal anchor inside the sampled target box.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-008,Island and Remote,HI,hawaii-island-remote,national-post-office-hi-fedex-89c3ba0615,FedEx,osm:node:5623315421,FedEx,excluded_private_shipping_semantics,private_shipping_semantics,active_exclusion,exclude_from_clean_public_post_office_denominator,private_shipping_semantic_gate,Postal-semantics review gates private-shipping or FedEx seed labels.,Keep excluded from public post-office denominator unless a future seed extract separates public post offices from private shipping facilities.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-009,Island and Remote,HI,hawaii-island-remote,national-post-office-hi-fedex-c4048ca71c,FedEx,osm:way:836960896,FedEx,excluded_private_shipping_semantics,private_shipping_semantics,active_exclusion,exclude_from_clean_public_post_office_denominator,private_shipping_semantic_gate,Postal-semantics review gates private-shipping or FedEx seed labels.,Keep excluded from public post-office denominator unless a future seed extract separates public post offices from private shipping facilities.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
a1b-exclusion-010,Island and Remote,HI,hawaii-island-remote,national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office,osm:node:9974077530,FedEx Office,excluded_private_shipping_semantics,private_shipping_semantics,active_exclusion,exclude_from_clean_public_post_office_denominator,private_shipping_semantic_gate,Postal-semantics review gates private-shipping or FedEx seed labels.,Keep excluded from public post-office denominator unless a future seed extract separates public post offices from private shipping facilities.,Exclusion ledger for bounded sampled denominator only; not a regional or national frequency claim.
