target_id,primary_city,settlement_size_proxy,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,minimum_stack_class,candidate_next_action,claim_boundary
national-post-office-ak-savoonga-28e6d58a5b,Savoonga,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-denali-national-park-95f11edfc1,Denali National Park,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-nikiski-715ab2cb27,Nikiski,50000_plus,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-nome-957c64f1f5,Nome,2500_to_9999,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-north-tongass-ward-cove-7bf0ffd1e9,North Tongass Ward Cove,10000_to_49999,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-homer-c28298bbbd,Homer,2500_to_9999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-postal-service-33114dbd26,Postal Service,under_2500,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-galena-3802346ef8,Galena,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-willow-6c7dbde30c,Willow,50000_plus,checked_absent,checked_absent,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-clam-gulch-e69b030ff3,Clam Gulch,50000_plus,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-postal-service-ed9cb8ff5d,Postal Service,2500_to_9999,observed,checked_absent,checked_absent,checked_absent,checked_absent,postal_food_service_minimum,No postal-only claim; carry as food-service minimum.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ak-fairbanks-downtown-station-c6be537924,Fairbanks Downtown Station,10000_to_49999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
