target_id,primary_city,evidence_item,source_name,source_url,source_date,observed_name,observed_address,latitude,longitude,inside_target_box,evidence_role,geocoder_source,review_note
national-post-office-wv-advent-6703372d97,Advent,postal_bulletin_discontinuance,USPS Postal Bulletin,https://about.usps.com/postal-bulletin/2011/pb22302/html/info_011.htm,2026-08-16,Advent Post Office,Advent WV 25231,,,unknown,postal_anchor_status_gate,not_geocoded,USPS Postal Bulletin records Advent WV post office discontinued in 2006 and converted to a place-name last-line use; Geofabrik OSM post-office node is therefore current-status gated.
national-post-office-wv-alkol-af95b9cf0d,Alkol,post_office_geocode,USPS locator,https://tools.usps.com/locations/details/1352700,2026-08-16,Alkol Post Office,5 Bulger Rd Alkol WV 25501,38.155902064486,-81.936039845448,yes,confirms_postal_anchor,U.S. Census Geocoder,USPS lists a current Alkol post office and Census geocoder places the address inside the sampled target box.
national-post-office-wv-alkol-af95b9cf0d,Alkol,pawn_trade_service_directory,Yellow Pages directory,https://www.yellowpages.com/new-richmond-wv/jewelry-buyers,2026-08-16,Poorman's Pawn,27867 Bulger Rd Alkol WV 25501,38.1343615,-81.9651540,yes,inside_box_trade_service_geocode_weak,OpenStreetMap Nominatim road-level fallback,Yellow Pages lists Poorman's Pawn at an Alkol Bulger Road address; Nominatim resolved the road inside the target box but not an exact storefront point.
national-post-office-wv-alum-bridge-cac27a2707,Alum Bridge,post_office_geocode,USPS locator,https://tools.usps.com/locations/details/1352887,2026-08-16,Alum Bridge Post Office,14 Moody Ln Alum Bridge WV 26321,39.0377590,-80.6579602,yes,confirms_postal_anchor,OpenStreetMap Nominatim,USPS lists a current Alum Bridge post office and Nominatim places the address inside the sampled target box.
national-post-office-wv-alvy-528cc43221,Alvy,historical_post_office_status,Local place-history source,https://en.wikipedia.org/wiki/Stringtown%2C_Tyler_County%2C_West_Virginia,2026-08-16,Alvy Post Office,Alvy/Stringtown WV 26320,,,unknown,postal_anchor_status_gate,not_geocoded,Place-history source records the Alvy-named post office as closed in 1997; the Geofabrik OSM post-office node is current-status gated until a current USPS facility is confirmed inside the box.
national-post-office-wv-ameagle-9cd071b90e,Ameagle,zip_postal_city_crosscheck,UnitedStatesZipCodes.org ZIP lookup,https://www.unitedstateszipcodes.org/25060/,2026-08-16,Dorothy postal city for ZIP 25060,Dorothy WV 25060,,,unknown,postal_anchor_status_gate,not_geocoded,ZIP lookup lists Dorothy as the preferred post-office city for ZIP 25060 and Ameagle as acceptable; this gates the sampled Ameagle OSM post-office node as a current postal anchor.
national-post-office-wv-ameagle-9cd071b90e,Ameagle,current_nearby_post_office,USPS locator,https://tools.usps.com/locations/details/1361052,2026-08-16,Dorothy Post Office,8974 Clear Fork Rd Dorothy WV 25060,,,unknown,nearby_postal_anchor_not_target_box,not_geocoded,USPS locator returns Dorothy as the current nearby postal facility for the ZIP context; this does not confirm a current Ameagle post office inside the sampled box.
national-post-office-wv-amherstdale-326f3fc417,Amherstdale,food_gas_convenience_brand_locator,Subway locator,https://restaurants.subway.com/united-states/wv/amherstdale/4065-buffalo-creek-road,2026-08-16,Subway at Little General Gas/C-Store,4065 Buffalo Creek Road Amherstdale WV 25607,37.784016428278,-81.813277840246,yes,inside_box_everyday_service,U.S. Census Geocoder,Subway locator places a restaurant inside Little General Gas/C-Store at 4065 Buffalo Creek Road; Census geocoder places the address inside the target box.
national-post-office-wv-amma-f3d6d8e5e0,Amma,gas_convenience_directory,Yellow Pages directory,https://www.yellowpages.com/amma-wv/mip/par-mar-stores-579945596,2026-08-16,Par Mar Stores,3442 Amma Rd Amma WV 25005,38.570205747495,-81.263996931808,yes,inside_box_everyday_service,U.S. Census Geocoder,Directory lists Par Mar Stores as a convenience store at 3442 Amma Road; Census geocoder places the address inside the target box.
national-post-office-wv-annamoriah-d4deb06470,Annamoriah,historical_post_office_status,Hur Herald local history,https://hurherald.com/recent_news.php?id=52165,2026-08-16,Anamoriah Post Office,Annamoriah WV,,,unknown,postal_anchor_status_gate,not_geocoded,Local history list records the Annamoriah/Anamoriah post office as closed in 1988; the Geofabrik OSM post-office way is current-status gated until a current USPS facility is confirmed inside the box.
national-post-office-wv-annamoriah-d4deb06470,Annamoriah,current_nearby_post_office,USPS locator,https://tools.usps.com/locations/details/1354938,2026-08-16,Big Springs Post Office,6657 N Calhoun Hwy Big Springs WV 26137,,,unknown,nearby_postal_anchor_not_target_box,not_geocoded,USPS locator shows Big Springs as a current facility for the 26137 postal context; this does not confirm a current Annamoriah post office inside the sampled box.
national-post-office-wv-anthony-bd47863ac8,Anthony,current_nearby_post_office,USPS locator,https://tools.usps.com/locations/details/1363978,2026-08-16,Frankford Post Office,21535 Seneca Trl N Frankford WV 24938,37.9248697,-80.3847383,no,nearby_outside_target_box,OpenStreetMap Nominatim,USPS lists Frankford as the current post office for the 24938 context; Nominatim places it just west of the Anthony target box.
