evidence_item,source_name,source_url,source_date,observed_name,observed_address,latitude,longitude,inside_aquilla_target_box,evidence_role,dossier_gate,review_note
current_postal_anchor,USPS locator,https://tools.usps.com/locations/details/1353216,2026-08-16,Aquilla Post Office,200 E Treadwell Aquilla TX 76622,31.851054691751,-97.219357199959,yes,confirms_postal_anchor,current_anchor_confirmed,Official locator record remains available for Aquilla Post Office; Census geocoder places the address inside the sampled target box.
current_postal_anchor_corrob,Postallocations public listing,https://www.postallocations.com/tx/aquilla/aquilla,2026-08-16,Aquilla Post Office,200 E Treadwell Aquilla TX 76622,31.851054691751,-97.219357199959,yes,corroborates_postal_anchor,current_anchor_corrob,Third-party postal listing corroborates the same address and retail-hour pattern; use only as supporting evidence behind the USPS locator.
current_postal_anchor_corrob,Mailbox Locate listing,https://mailboxlocate.com/offices/1353216-aquilla/,2026-08-16,Aquilla Post Office,200 E Treadwell Aquilla TX 76622,31.851054691751,-97.219357199959,yes,corroborates_postal_anchor,current_anchor_corrob,Postal directory corroborates the same Aquilla Post Office address and phone number; use only as supporting evidence behind the USPS locator.
nearby_gas_directory,Way gas-station directory,https://www.way.com/gas/stations/aquilla-tx,2026-08-16,Shell in West / Shell in Whitney / Exxon in West,West and Whitney TX,,,unknown,nearby_outside_target_box,nearby_service_weakens_isolation,"Way lists gas stations near Aquilla in Whitney, West, Abbott, and related nearby communities rather than an inside-box Aquilla gas/convenience point."
nearby_gas_detail,Shell station locator,https://find.shell.com/us/fuel/10012844-105-n-college-ave/en_US,2026-08-16,Shell,105 N College Ave West TX 76691,31.803050701176,-97.09918526309,no,nearby_outside_target_box,nearby_service_weakens_isolation,"Shell's station locator lists fuel, convenience-store, and restaurant offerings at 105 N College Ave in West; Census geocoder places the address east of the Aquilla sampled target box."
nearby_gas_corrob,Way Shell detail page,https://www.way.com/gas-station/details/7174302/Shell-in-West-105-N-College-Ave-,2026-08-16,Shell in West,105 N College Ave West TX 76691,31.803050701176,-97.09918526309,no,nearby_outside_target_box,nearby_service_weakens_isolation,Way's station detail corroborates Shell in West at the same N College Ave address outside the sampled target box.
nearby_grocery_directory,Yellow Pages grocery directory,https://www.yellowpages.com/aquilla-tx/grocery-stores,2026-08-16,ND Food Mart / Community Grocery / West Food Mart,Whitney and West TX,,,unknown,nearby_outside_target_box,nearby_service_weakens_isolation,Directory evidence lists grocery/convenience options in Whitney and West for Aquilla searches rather than an inside-box Aquilla grocery result.
nearby_grocery_detail,Yellow Pages business page,https://www.yellowpages.com/whitney-tx/bpp/nd-food-mart-567680773,2026-08-16,ND Food Mart,886 State Highway 22 Whitney TX 76692,31.8940993,-97.3302231,no,nearby_outside_target_box,nearby_service_weakens_isolation,Yellow Pages business page lists ND Food Mart at 886 State Highway 22 in Whitney; Nominatim resolves the address northwest of the Aquilla sampled target box.
nearby_grocery_corrob,ND Food Mart Facebook listing,https://www.facebook.com/p/ND-Food-Mart-61581909773406/,2026-08-16,ND Food Mart,886 State Hwy 22 Whitney TX 76692,31.8940993,-97.3302231,no,nearby_outside_target_box,nearby_service_weakens_isolation,Public listing corroborates ND Food Mart at the same Whitney address outside the sampled target box.
settlement_identity,public place summary,https://en.wikipedia.org/wiki/Aquilla%2C_Texas,2026-08-16,Aquilla,Aquilla TX 76622,,,yes,corroborates_settlement_identity,settlement_identity_present,Public place summary identifies Aquilla as a city in Hill County with ZIP code 76622 and 2020 Census population 101; use only for settlement identity context.
