gate,required_evidence,current_status,pass_fail,next_action,claim_boundary
denominator_builder,Manifest-driven denominator builder regenerates row and summary outputs,available,pass,Continue using scripts/build_a1b_denominator_eligibility.py after manifest changes.,Builder proves reproducibility only.
denominator_validator,Validator verifies denominator labels numerator prerequisites exclusions and summary consistency,available,pass,Run after every denominator rebuild.,Validator proves internal consistency only.
exclusion_ledger,Exclusion ledger documents all non-clean denominator rows,available,pass,Run after every denominator rebuild.,Ledger does not repair exclusions or authorize frequency claims.
truth_dossiers,All numerator-eligible candidates have truth dossiers,complete,pass,Keep decisions file current as candidates change.,Dossiers authorize target-box language only.
truth_synthesis,Synthesis classifies completed dossiers and blocked claims,complete,pass,Rerun after any dossier decision change.,Synthesis does not authorize regional or national frequency.
sampling_randomization,Formal deterministic within-stratum selection rule exists for the next breadth wave,defined_for_next_wave,pass,Apply SHA256 seeded ordering after validated public post-office seed extraction.,Current and next breadth waves remain descriptive until probability or full-frame treatment is documented.
source_gate_threshold,Maximum acceptable source-gated or excluded share is defined,defined_for_next_wave,pass,Block frequency language if source-gated or excluded rows exceed 20 percent overall or 4 of 12 in any manifest row.,No share may hide source gates.
next_breadth_manifest,Next breadth wave manifest rows are selected under frequency contract,selected,pass,Execute seed extraction settlement join preflight sidecars denominator rebuild and dossier workflow for selected rows.,New breadth alone still remains bounded descriptive evidence.
next_breadth_execution,Next breadth wave artifacts exist and pass validators,selected_wave_complete_integrated,pass,Keep artifacts synchronized if any candidate repair or exclusion changes.,Selected breadth wave execution is complete as bounded target-box evidence; it still does not authorize regional or national frequency.
frequency_treatment_decision,Formal claim-language treatment exists for selected-wave share versus probability or full-frame claims,selected_wave_descriptive_treatment_adopted,pass,Use bounded selected-wave share language only and keep probability full-frame regional and national claims blocked.,Allows descriptive selected-wave share; does not authorize probability regional national or full-frame frequency.
