summary_scope,sampled_target_rows,eligible_clean_sample_denominator_rows,eligible_postal_only_candidate_numerator_rows,postal_only_candidate_share_of_eligible_denominator,denominator_eligibility_counts,postal_only_numerator_eligibility_counts,eligible_final_class_counts,claim_boundary
ALL,144,128,9,9/128,eligible_clean_sample_denominator=128; excluded_current_anchor_not_confirmed=10; excluded_private_shipping_semantics=5; excluded_seed_state_mismatch=1,eligible_postal_only_candidate_numerator=9; not_eligible_denominator_excluded=16; not_postal_only_after_sidecar_or_depth=119,postal_everyday_service_minimum=86; postal_everyday_service_minimum_candidate=17; postal_food_service_minimum=10; postal_food_service_minimum_candidate=3; postal_only_depth_survivor=9; postal_trade_service_gated_candidate=1; postal_trade_service_minimum_candidate=2,Bounded sampled denominator after gates; not a regional or national frequency claim.
New England,12,11,0,0/11,eligible_clean_sample_denominator=11; excluded_current_anchor_not_confirmed=1,not_eligible_denominator_excluded=1; not_postal_only_after_sidecar_or_depth=11,postal_everyday_service_minimum=9; postal_food_service_minimum=2,Bounded sampled denominator after gates; not a regional or national frequency claim.
Great Plains,12,12,1,1/12,eligible_clean_sample_denominator=12,eligible_postal_only_candidate_numerator=1; not_postal_only_after_sidecar_or_depth=11,postal_everyday_service_minimum=4; postal_everyday_service_minimum_candidate=4; postal_food_service_minimum=1; postal_food_service_minimum_candidate=1; postal_only_depth_survivor=1; postal_trade_service_minimum_candidate=1,Bounded sampled denominator after gates; not a regional or national frequency claim.
Appalachia,12,6,1,1/6,eligible_clean_sample_denominator=6; excluded_current_anchor_not_confirmed=5; excluded_seed_state_mismatch=1,eligible_postal_only_candidate_numerator=1; not_eligible_denominator_excluded=6; not_postal_only_after_sidecar_or_depth=5,postal_everyday_service_minimum=2; postal_everyday_service_minimum_candidate=2; postal_only_depth_survivor=1; postal_trade_service_gated_candidate=1,Bounded sampled denominator after gates; not a regional or national frequency claim.
Mountain West,12,12,1,1/12,eligible_clean_sample_denominator=12,eligible_postal_only_candidate_numerator=1; not_postal_only_after_sidecar_or_depth=11,postal_everyday_service_minimum=10; postal_only_depth_survivor=1; postal_trade_service_minimum_candidate=1,Bounded sampled denominator after gates; not a regional or national frequency claim.
Southwest Borderlands,12,12,1,1/12,eligible_clean_sample_denominator=12,eligible_postal_only_candidate_numerator=1; not_postal_only_after_sidecar_or_depth=11,postal_everyday_service_minimum=10; postal_everyday_service_minimum_candidate=1; postal_only_depth_survivor=1,Bounded sampled denominator after gates; not a regional or national frequency claim.
Island and Remote,12,7,0,0/7,eligible_clean_sample_denominator=7; excluded_private_shipping_semantics=5,not_eligible_denominator_excluded=5; not_postal_only_after_sidecar_or_depth=7,postal_everyday_service_minimum=7,Bounded sampled denominator after gates; not a regional or national frequency claim.
Deep South Delta,12,10,2,2/10,eligible_clean_sample_denominator=10; excluded_current_anchor_not_confirmed=2,eligible_postal_only_candidate_numerator=2; not_eligible_denominator_excluded=2; not_postal_only_after_sidecar_or_depth=8,postal_everyday_service_minimum=5; postal_everyday_service_minimum_candidate=3; postal_only_depth_survivor=2,Bounded sampled denominator after gates; not a regional or national frequency claim.
Arctic Remote,12,12,1,1/12,eligible_clean_sample_denominator=12,eligible_postal_only_candidate_numerator=1; not_postal_only_after_sidecar_or_depth=11,postal_everyday_service_minimum=6; postal_everyday_service_minimum_candidate=3; postal_food_service_minimum=2; postal_only_depth_survivor=1,Bounded sampled denominator after gates; not a regional or national frequency claim.
California Interior,24,24,0,0/24,eligible_clean_sample_denominator=24,not_postal_only_after_sidecar_or_depth=24,postal_everyday_service_minimum=19; postal_everyday_service_minimum_candidate=1; postal_food_service_minimum=4,Bounded sampled denominator after gates; not a regional or national frequency claim.
Borderlands Replication,12,12,2,2/12,eligible_clean_sample_denominator=12,eligible_postal_only_candidate_numerator=2; not_postal_only_after_sidecar_or_depth=10,postal_everyday_service_minimum=9; postal_everyday_service_minimum_candidate=1; postal_only_depth_survivor=2,Bounded sampled denominator after gates; not a regional or national frequency claim.
Upper Midwest Lakes,12,10,0,0/10,eligible_clean_sample_denominator=10; excluded_current_anchor_not_confirmed=2,not_eligible_denominator_excluded=2; not_postal_only_after_sidecar_or_depth=10,postal_everyday_service_minimum=5; postal_everyday_service_minimum_candidate=2; postal_food_service_minimum=1; postal_food_service_minimum_candidate=2,Bounded sampled denominator after gates; not a regional or national frequency claim.
