target_id,primary_city,settlement_size_proxy,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,minimum_stack_class,candidate_next_action,claim_boundary
national-post-office-ms-tutwiler-0ca09919c3,Tutwiler,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-bigbee-valley-905a04396f,Bigbee Valley,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-union-church-ea072f6994,Union Church,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-wiggins-ca2830aa2a,Wiggins,2500_to_9999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-phillip-594c315f87,Phillip,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-verona-b144237576,Verona,2500_to_9999,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-crowder-66d363bf86,Crowder,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-clarksdale-dd861c33cc,Clarksdale,10000_to_49999,observed,observed,checked_absent,observed,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-ocean-springs-5194ac9e54,Ocean Springs,10000_to_49999,observed,observed,checked_absent,observed,observed,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-nitta-yuma-1b0b62daba,Nitta Yuma,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-valley-park-c02f8044f8,Valley Park,under_2500,checked_absent,checked_absent,checked_absent,checked_absent,checked_absent,postal_only_candidate,Depth review required before any postal-only claim.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
national-post-office-ms-heidelberg-c07f8caa16,Heidelberg,under_2500,observed,observed,checked_absent,checked_absent,checked_absent,postal_everyday_service_minimum,No postal-only claim; local everyday-service sidecar observed.,Local sidecar classification for bounded target boxes only; not regional or national frequency.
