"stratum","state","run_slug","target_id","primary_city","settlement_size_proxy","seed_facility_id","seed_facility_name","local_minimum_stack_class","depth_review_status","anchor_review_status","source_gate_status","final_denominator_class","final_class_source","denominator_eligibility","postal_only_numerator_eligibility","evidence_summary","claim_boundary"
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-airport-fcb22eb890","Airport","50000_plus","osm:way:14237143","USPS Airport","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-alpine-bd2d53e915","Alpine","under_2500","osm:node:8963974228","Alpine Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-auburn-0e0a391047","Auburn","10000_to_49999","osm:node:8594922909","Auburn Post Office","postal_only_candidate","postal_only_candidate_rejected_for_trade_service_not_food","current_anchor_confirmed_or_not_required_by_sidecar","","postal_trade_service_minimum_candidate","scoped_depth_review","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Star Valley Sod geocodes inside the Auburn target box as a local trade-service/retail signal, but no inside-box food-service or consumer gas/convenience source was found.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-beulah-02adcbe8f4","Beulah","2500_to_9999","osm:node:4917226278","Beulah Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-big-horn-809ef111f7","Big Horn","2500_to_9999","osm:way:1036677751","Big Horn Post Office","postal_food_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_food_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-boulder-wy-b9fd25d928","Boulder, WY","under_2500","osm:way:386533847","Boulder, WY Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-buffalo-main-46c786b9c1","Buffalo Main","2500_to_9999","osm:way:785147832","Buffalo Main Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-capitol-station-6ac1770321","Capitol Station","50000_plus","osm:node:9807732771","USPS Capitol Station","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-carpenter-wy-f9563226fe","Carpenter WY","2500_to_9999","osm:way:818117495","Carpenter WY Post Office","postal_only_candidate","postal_only_depth_candidate_survives","current_anchor_confirmed_or_not_required_by_sidecar","","postal_only_depth_survivor","scoped_depth_review","eligible_clean_scoped_denominator","eligible_postal_only_candidate_numerator","USPS confirms the Carpenter post office inside the target box; Antelope Truck Stop and TA Cheyenne are real nearby fuel/food/laundry sources but geocode outside the sampled target box.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
"Mountain West scoped frame","WY","wyoming-scoped-frame","national-post-office-wy-casper-2e4affc90a","Casper","50000_plus","osm:way:1233849738","Casper Post Office","postal_everyday_service_minimum","","current_anchor_confirmed_or_not_required_by_sidecar","","postal_everyday_service_minimum","local_sidecar_only","eligible_clean_scoped_denominator","not_postal_only_after_sidecar_or_depth","Local scoped-frame sidecar classification.","Scoped Wyoming denominator eligibility only; not Mountain West regional or national frequency."
