target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
wa-min-postal-bingen,Bingen minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:7708219187,Ayutulense,,,Bingen,WA,,45.7145549,-121.465427,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:4400613597,Subway,Subway,135 Jefferson Avenue J,Buckley,WA,98321,47.159079,-122.035921,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:753449747,Wally's Drive In,,,Buckley,WA,,47.1653716,-122.0272956,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-buckley,Buckley minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:4400613600,Westside Pizza,,135 Jefferson Avenue North,Buckley,WA,,47.1592942,-122.0356836,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1031637642,Agave Azul,,128 Cottage Avenue,Cashmere,WA,98815,47.5216864,-120.4680376,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:6468893491,Aut-to Mocha Espresso,,,Cashmere,WA,,47.5207021,-120.4554144,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:11273105010,Blue Flame,,,Cashmere,WA,,47.5226287,-120.4681202,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1246202628,Buckshot Honey,,400 Aplets Way,Cashmere,WA,98815,47.5237419,-120.4697823,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:4390102248,Huckleberry Cafe,,200 Apple Annie Avenue,Cashmere,WA,98815,47.5180768,-120.4504873,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1323076875,Java Buzz Espresso,,,Cashmere,WA,,47.51998,-120.453843,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:10031771138,La Tortuga Loca,,,Cashmere,WA,,47.5219212,-120.4693834,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:7304251706,Milepost 111,,,Cashmere,WA,,47.5242901,-120.4704874,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:295449803,Rusty's Drive-In,,700 Cotlet Way,Cashmere,WA,98815,47.520291,-120.4551173,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:13832213170,Subway,Subway,,Cashmere,WA,,47.5187325,-120.4537387,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:11273105011,Sugar Momma's Sweets,,,Cashmere,WA,,47.5221375,-120.4675616,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1206226758,Taqueria El Chavo,,5647 Sunset Highway,Cashmere,WA,98815,47.5225452,-120.4835338,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:7304270578,That Pizza Place - Arcade & Bowling,,,Cashmere,WA,,47.5222464,-120.469447,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1263639664,The Outpost Saloon,,5720 Vale Road,Cashmere,WA,98815,47.528581,-120.4879759,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cashmere,Cashmere minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:11273105012,Weed's Cafe,,,Cashmere,WA,,47.5219595,-120.4673056,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cathlamet,Cathlamet minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:850569710,Julie's Java,,,Cathlamet,WA,,46.1981948,-123.3687193,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cathlamet,Cathlamet minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:849296499,Maria's Place,,,Cathlamet,WA,,46.2019678,-123.3847835,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-cathlamet,Cathlamet minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:7935047476,Patty Cakes,,98 Main Street,Cathlamet,WA,98612,46.2016523,-123.3846818,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-cathlamet,Cathlamet minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:849288958,The Pizza Mill,,,Cathlamet,WA,,46.2056865,-123.3838135,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clallam-bay,Clallam Bay minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:341936461,Clallam Bay Inn,,,Clallam Bay,WA,,48.2547125,-124.2598539,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clallam-bay,Clallam Bay minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:306428445,Liquid Sanity Espresso,,,Clallam Bay,WA,,48.2477308,-124.2579221,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clinton,Clinton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:548808438,Hong Kong Gardens,,,Clinton,WA,,47.9806779,-122.3639281,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clinton,Clinton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:1758643422,Mukilteo Coffee,,,Clinton,WA,,48.0163547,-122.4390576,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clinton,Clinton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:5246377522,Patron Mexican Restaurant,,,Clinton,WA,,47.9914815,-122.3957379,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clinton,Clinton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1056554991,Southern Cross Espresso,,8825 State Route 525,Clinton,WA,,47.9785725,-122.3562906,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clinton,Clinton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:5246121223,The Shrimp Shack at Cozy's,,8872 State Route 525,Clinton,WA,98236,47.9794181,-122.3565488,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-clinton,Clinton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:660417130,Thirsty Crab Brewery,,,Clinton,WA,,47.979839,-122.3592955,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-clinton,Clinton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:5246123725,Whidbey Coffee,Whidbey Coffee,4141 State Route 525,Clinton,WA,98236,47.990608,-122.3955211,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-colfax,Colfax minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:446948368,165 Brew LLC,,406 South Main Street,Colefax,WA,,46.8776843,-117.365234,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-colfax,Colfax minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:601129595,Shotz Coffee,,638 North Main Street,Colfax,WA,,46.8876337,-117.3639878,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1059763233,Burger Factory,,452 South Columbia Avenue,Connell,WA,,46.656977,-118.8609295,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1059928538,Casita De Café,,,Connell,WA,,46.6639835,-118.860945,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:12769080533,Chester's,Chester's,,Connell,WA,,46.6499269,-118.8506884,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1059910926,Kaffrin's Coffee,,257 North Columbia Avenue,Connell,WA,,46.6623699,-118.8615597,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1061111649,La Herradura,,647 South Columbia Avenue,Connell,WA,,46.6550167,-118.8616724,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1061111647,Mei Ling Inn,,627 South Columbia Avenue,Connell,WA,,46.6555817,-118.8617534,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:301422833,Michael Jay's Restaurant & Bar,,710 South Columbia Avenue,Connell,WA,,46.653736,-118.8609162,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1059910924,Papa Ray's,,245 North Columbia Avenue,Connell,WA,,46.662165,-118.8617068,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:1060655553,Pizza Station,,238 North Columbia Avenue,Connell,WA,,46.6620955,-118.8610302,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-connell,Connell minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:9749425304,Subway,Subway,641 South Columbia Avenue,Connell,WA,99326,46.6553125,-118.8617501,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-darrington,Darrington minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:11885279155,Brew with a View,,1090 Seeman Street,Darrington,WA,98241,48.2553911,-121.6033763,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-darrington,Darrington minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:6727357536,Burger Barn,,,Darrington,WA,,48.2561252,-121.6015962,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-darrington,Darrington minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:11885279119,Common Ground Coffee,,1180 Cascade Street,Darrington,WA,98241,48.256142,-121.610907,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-darrington,Darrington minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:2525669885,Dos agaves,,1215 State Route 530 Northeast,Darrington,WA,98241,48.2563434,-121.6118005,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-darrington,Darrington minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:6727357537,Moe's,,,Darrington,WA,,48.2554993,-121.6021889,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:280927501,Chief Spring's Pizzeria,,134 East Main Street,Dayton,WA,99325,46.3190862,-117.9813277,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:way:280940956,Fiesta en Jalisco,,400 W Main St,Dayton,WA,99328,46.3166668,-117.9879806,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:13929959487,Food Service,,,Dayton,WA,,46.3194268,-117.9817067,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:2849742173,Food Service,,725 E Dayton Ave,Dayton,WA,99328,46.3279212,-117.9753002,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:2411657647,Manila Bay Cafe,,311 East Main Street,Dayton,WA,99328,46.3206726,-117.978837,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:10967216702,Moose Creek Cafe & Bakery,,,Dayton,WA,,46.3205145,-117.9782866,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:13929959486,My Dad's Place,,127 East Main Street,Dayton,WA,99328,46.3193927,-117.9818056,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:12863719558,Rey's Roast Coffee,,,Dayton,WA,,46.3101463,-117.9978767,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-dayton,Dayton minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:2849726752,Subway,Subway,516 W Main Street,Dayton,WA,99328,46.3157273,-117.9900501,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-eastsound,Eastsound minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:5840381188,Cafe Aurora,,,Eastsound,WA,,48.6954979,-122.9068342,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-eastsound,Eastsound minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:5840527286,Darvill's Cafe,,,Eastsound,WA,,48.69435,-122.9066471,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-eastsound,Eastsound minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:7929587047,Delmi’s Tacos and More,,233 Prune Alley,Eastsound,WA,,48.6963314,-122.9059321,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-eastsound,Eastsound minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:11241315690,Food Service,,,Eastsound,WA,,48.6882495,-122.9580702,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,exclude,unnamed_food_service_anchor
wa-min-postal-eastsound,Eastsound minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:5665108587,Houlme,,460 Main Street,Eastsound,WA,,48.6944158,-122.9048507,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,address_tag_incomplete
wa-min-postal-eastsound,Eastsound minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:4518835823,Island Skillet,,325 Prune Alley,Eastsound,WA,98245,48.6968614,-122.9059524,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
wa-min-postal-eastsound,Eastsound minimum postal parish candidate,minimum_postal_parish_candidate,food_service,osm:node:13570562825,Johanna's Catering,,68 North Beach Road,Eastsound,WA,98245,48.6951678,-122.9058406,OpenStreetMap Overpass API,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
