manifest_item,status,input_artifact,planned_output,expected_rows_or_gate,command_or_method,validation_gate,claim_boundary
raw_seed_extract,complete,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-mountain-west-post-office-seed-2026-08-16.csv,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-seed-exclusion-ledger-2026-08-16.csv,110 Geofabrik post-office seed rows; 84 packet_ready and 26 excluded unnamed rows.,Use existing Geofabrik seed extract as source; ledger non-packet-ready rows before full-frame target construction.,Seed counts reconcile to review_status counts: packet_ready=84 exclude=26.,Seed extraction and seed exclusions only; not a frequency denominator.
eligible_public_post_office_frame,complete,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-mountain-west-post-office-seed-2026-08-16.csv,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-targets-2026-08-16.csv,84 target rows written from packet-ready post_office seeds only.,Ran scripts/run_post_office_sample_preflight.py with --sample-per-stratum 0 --max-total 0 --stratum-field state and standard target-box deltas.,validate_post_office_seed.py passes; target rows equal packet_ready post_office rows.,Scoped Wyoming public-post-office target-box frame only.
settlement_join,complete,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-settlement-join-2026-08-16.csv,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-enriched-targets-2026-08-16.csv,84 enriched rows written and settlement_proxy rows join by target_id=84.,Use repaired scoped-frame settlement join for downstream sidecar inputs.,Preflight report reconciles packet_ready_post_office_seed_rows=84 target_rows=84 enriched_rows=84 settlement_proxy_join_keys=target_id=84.,Settlement proxy supports scoped-frame strata only; not service adequacy.
preflight_report,complete,wyoming scoped-frame targets and enriched targets,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-preflight-report-2026-08-16.csv,Report shows target_rows=84 enriched_rows=84 and zero unknown settlement buckets.,Generated by scripts/run_post_office_sample_preflight.py after settlement repair.,Report metrics reconcile to target and enriched CSV row counts.,Workflow readiness only.
sidecar_reviews,complete,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-enriched-targets-2026-08-16.csv,wyoming-scoped-frame food/gas/dollar/hardware/laundromat review and status files; wyoming-scoped-frame-minimum-stack-classification-2026-08-16.csv,84 target boxes classified; first-pass classes are postal_everyday_service_minimum=45 postal_food_service_minimum=15 postal_only_candidate=24.,Reused existing local sidecar extraction/classification pipeline with scoped-frame enriched target inputs.,Every scoped-frame target has a minimum-stack classification; postal_only_candidate rows move to current-anchor gate.,Target-box service-sidecar evidence only.
current_anchor_gate,complete_with_source_gated_treatment,scoped-frame first-pass postal-only candidates,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-current-postal-anchor-review-2026-08-16.csv; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-source-gated-anchor-treatment-2026-08-16.csv,24 first-pass postal-only candidates in current-anchor review table; confirmed_inside=20 and source_gated=4; all 4 source-gated rows now have explicit exclusion treatment.,Use USPS/current authoritative postal source and geocode every candidate anchor; carry unresolved rows as explicit exclusions before denominator use.,No numerator candidate advances without current_anchor_confirmed_inside_box plus depth review or explicit exclusion status; source-gated treatment rows=4.,Current-anchor eligibility gate only; completed treatment enables denominator construction but does not create a frequency claim.
depth_review,complete,scoped-frame current-anchor-confirmed postal-only candidates,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-depth-review-queue-2026-08-16.csv; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-depth-review-open-sources-2026-08-16.csv; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-depth-review-decision-2026-08-16.csv; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-source-gated-anchor-treatment-2026-08-16.csv,20 confirmed-inside rows queued for depth review; scoped depth artifacts contain 37 source rows and 20 decision rows; 0 confirmed-inside depth reviews remain; 4 source-gated rows have explicit exclusion treatment.,"Apply hardened truth-dossier source standard; scoped-frame batch 6 closes current alternate-source review for Arvada, Recluse, Powder River, Smoot, and Leiter; section 125 closes source-gated treatment.",Every numerator-eligible candidate has source-review rows and decision status before estimator use; current scoped depth decision rows=20; source-gated treatment rows=4.,"Target-box candidate classification only; completed depth/source-gate review feeds denominator dry run but does not create regional or national frequency."
denominator_and_exclusions,complete,scoped-frame targets classifications anchor/depth decisions,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-denominator-eligibility-rows-2026-08-16.csv; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-denominator-exclusion-ledger-2026-08-16.csv; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-denominator-summary-2026-08-16.csv,84 frame target rows; 80 clean denominator rows; 4 active source-gated/current-anchor exclusions; 11 eligible postal-only depth-survivor numerator rows.,Scoped denominator built from local minimum-stack classification, 20 depth decisions, and 4 source-gated treatment decisions.,Eligibility rows plus exclusion ledger reconcile to 84 scoped-frame target rows.,Scoped Wyoming denominator only; not Mountain West regional or national frequency.
estimator_dry_run,dry_run_complete,scoped-frame denominator and truth synthesis,research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-estimator-dry-run-2026-08-16.csv,Exact scoped-frame target-box dry run reports 11/80 after 4 exclusions.,Compute numerator over clean eligible scoped-frame denominator; report exclusions and class counts adjacent to share.,"Estimator inputs reconcile to denominator summary, exclusion ledger, and candidate decisions.",Scoped Wyoming target-box dry run only; not Mountain West regional or national frequency.
reporting_gate,internal_claim_packet_ready,all scoped-frame outputs,research/tracks/A-lineage/A.1b+minimum-postal-parish/sections/127-wyoming-scoped-frame-method-review.md; research/tracks/A-lineage/A.1b+minimum-postal-parish/sections/128-wyoming-scoped-frame-claim-packet.md; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-method-review-2026-08-16.csv; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-numerator-roster-2026-08-16.csv; research/tracks/A-lineage/A.1b+minimum-postal-parish/tables/wyoming-scoped-frame-claim-packet-2026-08-16.csv,Method review passes for internal scoped Wyoming dry-run wording with boundary constraints; claim packet has 5 rows and numerator roster has 11 reporting-safe labels.,Use only scoped target-box dry-run wording and roster labels; keep exclusions adjacent to any share.,Boundary scan blocks national Mountain West regional catchment complete-service-absence and service-adequacy claims.,Internal scoped Wyoming dry-run wording only; not public regional or national frequency.
