target_id,primary_city,minimum_stack_class,post_office_status,food_service_status,gas_convenience_status,dollar_store_status,hardware_status,laundromat_status,queue_origin_chain_stack,everyday_service_signal_count,everyday_service_signals,classification_note
il-third-pilot-brookfield,Brookfield,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,auto_parts,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-fairbury,Fairbury,postal_everyday_service_minimum,observed,observed,observed,observed,checked_absent,checked_absent,auto_parts,3,food_service; gas_convenience; dollar_store,Post office is observed with food-service and at least one additional everyday-service sidecar inside bounded target box.
il-third-pilot-greenup,Greenup,postal_everyday_service_minimum,observed,observed,observed,checked_absent,checked_absent,checked_absent,auto_parts,2,food_service; gas_convenience,Post office is observed with food-service and at least one additional everyday-service sidecar inside bounded target box.
il-third-pilot-hodgkins,Hodgkins,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,auto_parts,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-mount-carmel,Mount Carmel,postal_food_service_minimum,observed,observed,checked_absent,checked_absent,checked_absent,checked_absent,auto_parts,1,food_service,"Post office and food-service are observed; gas/convenience, dollar store, hardware, and laundromat are checked absent inside bounded target box."
il-third-pilot-petersburg,Petersburg,postal_signal_absent_or_source_gated,checked_absent,not_run,not_run,not_run,not_run,not_run,auto_parts,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-riverside,Riverside,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,auto_parts,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-sleepy-hollow,Sleepy Hollow,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,auto_parts,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-virden,Virden,postal_food_service_minimum,observed,observed,checked_absent,checked_absent,checked_absent,checked_absent,auto_parts,1,food_service,"Post office and food-service are observed; gas/convenience, dollar store, hardware, and laundromat are checked absent inside bounded target box."
il-third-pilot-winthrop-harbor,Winthrop Harbor,postal_everyday_service_minimum,observed,observed,observed,observed,checked_absent,checked_absent,auto_parts,3,food_service; gas_convenience; dollar_store,Post office is observed with food-service and at least one additional everyday-service sidecar inside bounded target box.
il-third-pilot-clarendon-hills,Clarendon Hills,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,grocery,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-dixmoor,Dixmoor,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,grocery,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-glen-carbon,Glen Carbon,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,grocery,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-la-grange-park,La Grange Park,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,grocery,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-albion,Albion,postal_food_service_minimum,observed,observed,checked_absent,checked_absent,checked_absent,checked_absent,qsr,1,food_service,"Post office and food-service are observed; gas/convenience, dollar store, hardware, and laundromat are checked absent inside bounded target box."
il-third-pilot-altamont,Altamont,postal_everyday_service_minimum,observed,observed,observed,observed,checked_absent,checked_absent,qsr,3,food_service; gas_convenience; dollar_store,Post office is observed with food-service and at least one additional everyday-service sidecar inside bounded target box.
il-third-pilot-arcola,Arcola,postal_everyday_service_minimum,observed,observed,observed,checked_absent,checked_absent,checked_absent,qsr,2,food_service; gas_convenience,Post office is observed with food-service and at least one additional everyday-service sidecar inside bounded target box.
il-third-pilot-bannockburn,Bannockburn,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,qsr,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-henry,Henry,postal_signal_absent_or_source_gated,checked_absent,not_run,not_run,not_run,not_run,not_run,pharmacy,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
il-third-pilot-lincolnwood,Lincolnwood,postal_signal_absent_or_source_gated,source_gated,not_run,not_run,not_run,not_run,not_run,pharmacy,0,,Post-office evidence is not observed or remains source-gated in the bounded target box; everyday sidecars were not run for this target.
